Region,Event,Player,Team Abbreviated,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,CW,CP,KMax,K,D,A,FK,FD
EMEA,Champions Tour 2024: EMEA Kickoff,AtaKaptan,FUT,FUT Esports,182,1.22,216.9,1.23,0.76,140.5,0.77,0.51,0.04,0.07,0.3,0.17,4/23,4,23,30,140,114,92,7,13
EMEA,Champions Tour 2024: EMEA Kickoff,N4RRATE,KC,Karmine Corp,383,1.21,249.9,1.27,0.78,166.2,0.89,0.33,0.12,0.08,0.26,0.15,5/33,5,33,40,342,269,125,47,31
EMEA,Champions Tour 2024: EMEA Kickoff,MiniBoo,TH,Team Heretics,208,1.19,254.7,1.22,0.69,165.1,0.88,0.19,0.22,0.17,0.28,0.4,6/15,6,15,25,184,151,39,45,36
EMEA,Champions Tour 2024: EMEA Kickoff,Chronicle,FNC,FNATIC,88,1.15,218,1.2,0.76,140.4,0.74,0.57,0.09,0.05,0.22,0.42,5/12,5,12,21,65,54,50,8,4
EMEA,Champions Tour 2024: EMEA Kickoff,Cloud,GX,GIANTX,124,1.15,241.3,1.17,0.71,155.6,0.84,0.36,0.08,0.06,0.3,0.13,2/16,2,16,22,104,89,45,10,8
EMEA,Champions Tour 2024: EMEA Kickoff,Zyppan,NAVI,Natus Vincere,146,1.14,237.1,1.23,0.72,156.5,0.86,0.32,0.1,0.08,0.34,,0/12,0,12,25,125,102,47,15,11
EMEA,Champions Tour 2024: EMEA Kickoff,marteen,KC,Karmine Corp,383,1.14,241.1,1.2,0.73,156.4,0.84,0.25,0.18,0.15,0.23,0.2,4/20,4,20,31,320,266,95,70,57
EMEA,Champions Tour 2024: EMEA Kickoff,Keiko,TL,Team Liquid,160,1.14,229,1.24,0.71,150.7,0.83,0.11,0.21,0.12,0.3,0.05,1/19,1,19,37,133,107,18,33,19
EMEA,Champions Tour 2024: EMEA Kickoff,ardiis,NAVI,Natus Vincere,146,1.13,246,1.25,0.74,155.8,0.9,0.28,0.14,0.1,0.21,0.2,4/20,4,20,28,132,106,41,21,15
EMEA,Champions Tour 2024: EMEA Kickoff,Sayf,VIT,Team Vitality,238,1.12,209.2,1.22,0.68,137.3,0.77,0.28,0.11,0.08,0.37,0.14,5/37,5,37,27,183,150,67,26,19
EMEA,Champions Tour 2024: EMEA Kickoff,TakaS,M8,Gentle Mates,104,1.11,260.8,1.25,0.66,164.9,0.92,0.2,0.15,0.12,0.22,0.14,1/7,1,7,26,96,77,21,16,12
EMEA,Champions Tour 2024: EMEA Kickoff,yetujey,FUT,FUT Esports,182,1.1,210,1.16,0.79,143.3,0.74,0.25,0.12,0.09,0.24,0.19,5/27,5,27,30,135,116,46,22,17
EMEA,Champions Tour 2024: EMEA Kickoff,Alfajer,FNC,FNATIC,88,1.08,225.5,1.26,0.74,146.6,0.83,0.1,0.13,0.06,0.31,0.11,1/9,1,9,24,73,58,9,11,5
EMEA,Champions Tour 2024: EMEA Kickoff,Kicks,VIT,Team Vitality,238,1.08,201.3,1.09,0.72,127.4,0.73,0.38,0.05,0.11,0.21,0.23,6/26,6,26,26,173,158,91,12,27
EMEA,Champions Tour 2024: EMEA Kickoff,Boo,TH,Team Heretics,208,1.07,187.6,1.05,0.72,125.1,0.69,0.4,0.07,0.07,0.29,0.04,1/23,1,23,26,143,136,84,15,15
EMEA,Champions Tour 2024: EMEA Kickoff,Leo,FNC,FNATIC,88,1.05,186.8,1.13,0.77,126.4,0.67,0.33,0.07,0.05,0.22,,0/11,0,11,24,59,52,29,6,4
EMEA,Champions Tour 2024: EMEA Kickoff,benjyfishy,TH,Team Heretics,208,1.05,214.5,1.09,0.75,141.7,0.76,0.2,0.1,0.09,0.35,0.18,6/33,6,33,22,159,146,42,20,18
EMEA,Champions Tour 2024: EMEA Kickoff,Shao,NAVI,Natus Vincere,146,1.05,192.7,1.05,0.73,131.9,0.68,0.39,0.05,0.13,0.3,0.1,1/10,1,10,20,99,94,57,7,19
EMEA,Champions Tour 2024: EMEA Kickoff,runneR,VIT,Team Vitality,238,1.04,227.7,1.03,0.72,153.2,0.76,0.26,0.16,0.16,0.19,0.31,4/13,4,13,27,182,176,63,39,37
EMEA,Champions Tour 2024: EMEA Kickoff,RieNs,TH,Team Heretics,208,1.02,202.4,1.01,0.75,139.1,0.7,0.31,0.1,0.02,0.39,0.18,4/22,4,22,24,146,145,65,21,5
EMEA,Champions Tour 2024: EMEA Kickoff,qRaxs,FUT,FUT Esports,182,1.02,201.6,0.89,0.73,130.5,0.65,0.43,0.08,0.08,0.25,0.18,3/17,3,17,20,119,133,78,15,14
EMEA,Champions Tour 2024: EMEA Kickoff,SUYGETSU,NAVI,Natus Vincere,146,1.01,181.6,1.06,0.71,124.3,0.65,0.18,0.04,0.1,0.38,0.2,5/25,5,25,17,95,90,26,6,15
EMEA,Champions Tour 2024: EMEA Kickoff,Boaster,FNC,FNATIC,88,1.01,200.3,1.03,0.7,134.6,0.73,0.43,0.07,0.1,0.28,,0/12,0,12,20,64,62,38,6,9
EMEA,Champions Tour 2024: EMEA Kickoff,MAGNUM,KC,Karmine Corp,383,1.01,180,0.99,0.73,124,0.64,0.29,0.08,0.1,0.25,0.17,8/46,8,46,25,247,250,110,29,40
EMEA,Champions Tour 2024: EMEA Kickoff,sh1n,KC,Karmine Corp,383,1.01,162.2,1,0.75,103,0.61,0.34,0.05,0.07,0.32,0.15,9/60,9,60,19,235,234,132,20,25
EMEA,Champions Tour 2024: EMEA Kickoff,MrFaliN,FUT,FUT Esports,182,1,201,0.96,0.74,129.3,0.68,0.43,0.1,0.1,0.2,0.11,2/18,2,18,23,124,129,78,19,19
EMEA,Champions Tour 2024: EMEA Kickoff,nukkye,GX,GIANTX,124,1,202.2,0.99,0.73,137.4,0.69,0.3,0.1,0.06,0.29,0.08,1/13,1,13,21,86,87,37,13,7
EMEA,Champions Tour 2024: EMEA Kickoff,nAts,TL,Team Liquid,160,1,197.9,0.99,0.71,138.7,0.68,0.23,0.07,0.11,0.28,0.08,2/25,2,25,28,109,110,36,11,18
